Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RUNX2 (human)	1/1458	0.3650577518587598	0.5394381277829272	0	0	2.5445435827041867	2.564135839648767	JPH2
GLI2 (human)	1/1465	0.3664948119411876	0.5394381277829272	0	0	2.5314207650273226	2.5409665336158325	JPH2
SND1 (human)	1/1473	0.36813384649146474	0.5394381277829272	0	0	2.5165760869565217	2.514836361924401	BLNK
FOXJ1 (human)	1/1484	0.3703817477209251	0.5394381277829272	0	0	2.4964261631827376	2.4795030266162623	ALPL
JDP2 (human)	1/1488	0.3711975121778547	0.5394381277829272	0	0	2.4891728312037658	2.4668224990658274	ALPL
CEBPD (human)	1/1495	0.3726229806922981	0.5394381277829272	0	0	2.4765729585006695	2.4448434676836097	JPH2
ESR1 (human)	1/1513	0.37627611089543855	0.5394381277829272	0	0	2.4447089947089946	2.389536967374384	HLA-DRA
ATF2 (human)	1/1517	0.3770855055267485	0.5394381277829272	0	0	2.437730870712401	2.377478237693776	BLNK
RBPJ (human)	1/1535	0.38071695842301995	0.5394381277829272	0	0	2.406779661016949	2.3242248832609693	JPH2
NFIC (human)	2/4403	0.39406529691532455	0.5394381277829272	0	0	1.771529197909566	1.649716467916142	HLA-DMA;HLA-DRA
CACYBP (mouse)	1/1656	0.4046734321406172	0.5394381277829272	0	0	2.21619335347432	2.004934450651394	BLNK
TFAP2A (mouse)	1/1663	0.40603536176723604	0.5394381277829272	0	0	2.206016847172082	1.9883161302542531	ALPL
MYOD1 (mouse)	1/1672	0.4077825981643455	0.5394381277829272	0	0	2.1930580490724116	1.9672193308847545	ALPL
SPI1 (mouse)	1/1680	0.40933209943157417	0.5394381277829272	0	0	2.1816557474687315	1.9487170327209582	JPH2
MYC (mouse)	1/1699	0.4129986294851684	0.5394381277829272	0	0	2.1550058892815076	1.9056954225773552	ALPL
JUN (mouse)	1/1699	0.4129986294851684	0.5394381277829272	0	0	2.1550058892815076	1.9056954225773552	ALPL
ELK1 (mouse)	1/1727	0.4183673533833596	0.5394381277829272	0	0	2.1168018539976825	1.8445713910077761	ALPL
POU2F1 (mouse)	1/1735	0.41989373628901244	0.5394381277829272	0	0	2.1061130334486737	1.8275871847946292	BLNK
POU2F2 (mouse)	1/1754	0.4235055222614415	0.5394381277829272	0	0	2.0811180832857956	1.78807319337828	BLNK
POU1F1 (mouse)	1/1754	0.4235055222614415	0.5394381277829272	0	0	2.0811180832857956	1.78807319337828	ALPL
LEF1 (human)	2/4658	0.42507590456674355	0.5394381277829272	0	0	1.6471219931271477	1.4090923206072619	JPH2;HLA-DMA
JUND (mouse)	1/1764	0.4253989224842422	0.5394381277829272	0	0	2.068179239931934	1.7677305175284852	BLNK
IRF8 (mouse)	1/1770	0.42653247313068665	0.5394381277829272	0	0	2.0604861503674394	1.755671791769008	BLNK
Myb (mouse)	1/1902	0.45100328418385954	0.5612146748058314	0	0	1.9035244608100998	1.5157397092247193	ALPL
MAX (human)	1/1934	0.4568026422838163	0.5612146748058314	0	0	1.8687015002586653	1.4641347943951484	ALPL
SP1 (mouse)	1/2360	0.5292736557119213	0.6410920336792286	0	0	1.4951250529885545	0.9512728265025859	ALPL
TBP (human)	1/2486	0.5490935234985383	0.6503260755693483	0	0	1.4091750503018108	0.8447814181228127	HLA-DQB1
GATA3 (human)	1/2505	0.5520209711228189	0.6503260755693483	0	0	1.3969648562300319	0.8300335500930663	HLA-DQB1
GATA1 (human)	1/2679	0.578101394478223	0.6632247108975593	0	0	1.2932038834951456	0.7086834908985684	BLNK
NFE2 (human)	1/2681	0.5783936432246156	0.6632247108975593	0	0	1.292089552238806	0.7074198031321501	ALPL
CREB1 (human)	1/2749	0.58823022123297	0.6638207389244872	0	0	1.2551673944687045	0.6660381038069171	JPH2
POU2F2 (human)	1/2792	0.5943511267114595	0.6638207389244872	0	0	1.2327481189537801	0.6413803696824429	BLNK
JUN (human)	1/2976	0.6196936899340104	0.677564905322467	0	0	1.1441344537815126	0.5475026275816303	ALPL
HINFP (human)	1/3047	0.6291129534206815	0.677564905322467	0	0	1.1128036769533816	0.5157227016199468	JPH2
E2F1 (mouse)	1/3056	0.6302929351836903	0.677564905322467	0	0	1.108936170212766	0.511852323668849	ALPL
FOXC1 (human)	4/13142	0.6613715042656569	0.702196905763537	0	0	1.043690059369767	0.43150276239500773	HLA-DMA;BLNK;HLA-DRA;HLA-DQB1
NFKB1 (human)	1/3497	0.6844055047080113	0.7128118587587855	0	0	0.9438215102974828	0.3579015468909342	ALPL
PITX2 (human)	1/3528	0.6879463288020837	0.7128118587587855	0	0	0.9337680748511483	0.34927077023750136	HLA-DRA
NR5A2 (human)	1/3815	0.7191847659453988	0.7363082127536226	0	0	0.8484530676455165	0.2796815051881774	BLNK
ETS1 (human)	1/4827	0.8093893589948572	0.8189115867477378	0	0	0.6285951098217986	0.13293227242522387	JPH2
GATA2 (human)	2/9985	0.8899544712916736	0.8899544712916736	0	0	0.50140238405289	0.05845598361578035	HLA-DRA;HLA-DQB1
